# 11/09/2024 09:07:00 AM: Volumes - EPEX Spot Market Auction - switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
05/08/2024,4581.3,4948.6,4419.2,,4657.6,3925.3,4070.3,5008.9,5604.9,5132.3,5172.2,5317.2,4899.7,4715.3,4717,4744.1,4815.6,4827.9,5251.7,5710,5345.7,5481.8,5241.3,5294.3,5040.8,118923
04/08/2024,5643.4,5101.7,5004.8,,5234.5,4560,4445.8,4599.4,4698.9,4146,3433.9,3587.3,3308.1,3138.5,3352.2,3162.8,3153.5,3436.2,3855.4,4564.9,5853.2,5721.3,5500.1,5213.6,5189.6,105905.1
03/08/2024,4356.3,5051.3,4935.4,,4191.3,3705,3681.1,4032.5,4056.4,3966.8,4809.1,4472.6,4120.3,4255.5,4044.1,3706.7,3635.7,3709.5,4857.4,3859.5,4942.7,5040.4,4262.9,4621,4887.6,103201.1
02/08/2024,3034.1,3118.2,3085.2,,4272.1,3500.5,3192.4,3401.3,3437.5,3262.3,3351.8,4212.8,4206.6,4350.1,4373.4,3924.2,4563.8,4403.1,4358.1,3802.4,3674.7,3871.8,3878.5,3786,3450.3,90511.2
01/08/2024,3497,3551.6,3487,,3876.6,3975.9,3853.1,3450.9,4479.3,4499.5,4381.9,4388.8,4385.2,4433.4,4404.8,4465.5,4355.8,4490.2,4441.7,3705.1,3480.4,3693.6,3725.8,3561.4,3338.2,95922.7
31/07/2024,4252,5885.3,6183.1,,6189,5355.4,4579.7,4907.4,4304,4238.6,4425.4,4821.1,3926.6,4326.1,4211.7,4019.4,4586.8,5331.6,4855.1,3823.2,3860.1,4173.3,4240.2,5285.8,4788.5,112569.4
30/07/2024,6401.9,6532.7,6081.9,,5465.1,5125.7,4449.4,4974.7,5417.1,5047.1,4950.1,4541.7,4438.4,4728.9,4450.6,4401.1,4543,5334.2,5556.1,5300.2,5011.4,5340.8,5029.6,5233.7,4717.2,123072.6
29/07/2024,4476.6,4464.4,4547.9,,4163.8,4200.8,3896,4019.5,4810.7,4795.6,4146.9,4376.8,4635.2,5098.6,4949.4,4576.9,4620.1,4813.6,5302.9,5473.4,5204.3,5199.1,5349.1,5501.8,5293.5,113916.9
28/07/2024,4642.1,4127.3,4141.1,,4953.7,4201.3,3286.2,3353.9,3312.9,3580.2,4236.6,3697.2,3942.5,4281.2,4601.3,4850.1,4782.8,4503.7,4189,3579.2,4022.9,4528.8,3999.1,5257.9,5335.2,101406.2
27/07/2024,5323.7,4988.2,5702.7,,5513.1,5139.5,5139.7,5297.2,4934.9,5050.6,4613.8,4726.6,4583.4,5293.3,5309.8,4469.8,4506.5,5090.9,5279.8,5080.3,4767.7,5174.7,5418.4,5816,5448.5,122669.1
